path,type,size,parent
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo,directory,7517,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo/__init__.py,file,201,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo/entries.py,file,3047,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo/__pycache__,directory,4269,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo/__pycache__/entries.cpython-311.pyc,file,3733,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo/__pycache__
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo/__pycache__/__init__.cpython-311.pyc,file,536,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/sem8_serialization/Homework/fsinfo/__pycache__
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar7,directory,10329,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar7/.DS_Store,file,6148,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar7
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar7/taks7.py,file,1938,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar7
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar7/rename,directory,2243,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar7
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar7/rename/menu.md,file,37,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar7/rename
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar7/rename/hw_test003.py,file,261,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar7/rename
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar7/rename/tastest001.py,file,1541,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar7/rename
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar7/rename/lectest002.py,file,404,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar7/rename
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/.vscode,directory,123,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/.vscode/settings.json,file,123,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/.vscode
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/modules,directory,226,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/modules/main.py,file,51,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/modules
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/modules/our_beautiful_package,directory,175,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/modules
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/modules/our_beautiful_package/library.py,file,99,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/modules/our_beautiful_package
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/modules/our_beautiful_package/__init__.py,file,76,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/modules/our_beautiful_package
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar6.1,directory,2808,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar6.1/eight_queens.py,file,475,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar6.1
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar6.1/main.py,file,381,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar6.1
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar6.1/problems,directory,1088,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar6.1
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar6.1/problems/__init__.py,file,0,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar6.1/problems
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar6.1/problems/__pycache__,directory,1088,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar6.1/problems
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar6.1/problems/__pycache__/eight_queens.cpython-311.pyc,file,873,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar6.1/problems/__pycache__
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar6.1/problems/__pycache__/__init__.cpython-311.pyc,file,215,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar6.1/problems/__pycache__
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar6.1/__pycache__,directory,864,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar6.1
/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar6.1/__pycache__/eight_queens.cpython-311.pyc,file,864,/Users/mac/Desktop/GeekBrains/Погружение в Пайтон/hw_seminar6.1/__pycache__
